"","X","Animal","ContainerType","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel","cmpHighScopeConstrualProb","posHighScopeConstrualProb","allowUninformativeThresholds","Container"
"1",3,"rabbit","box",2,0.423383371601306,"big","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","box2"
"2",1,"rabbit","bag",2,0.372489637925628,"big","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2"
"3",2,"rabbit","bag",1,0.204126990473066,"big","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","bag1"
"4",31,"rabbit","box",2,0.393136431372175,"big","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","box2"
"5",11,"rabbit","bag",2,0.379062432397526,"big","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"6",21,"rabbit","bag",1,0.227801136230299,"big","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","bag1"
"7",4,"rabbit","box",2,0.409976258591484,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","box2"
"8",12,"rabbit","bag",2,0.267387646240486,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"9",32,"rabbit","box",1,0.176105749194633,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","box1"
"10",22,"rabbit","bag",1,0.146530345973397,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","bag1"
"11",13,"rabbit","bag",2,0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2"
"12",23,"rabbit","box",2,0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","box2"
"13",14,"rabbit","bag",2,0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"14",24,"rabbit","box",2,0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","box2"
"15",25,"rabbit","box",2,0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","box2"
