"usernum","stim","cond","adjtype","displaytype","version","audiofile","response","timestamp","order","selectedpos","images","phrase","native","type","stimnum","mturkid","time","usernum_unique","run","cheater","selection","target","condcollapsed"
20,"target-5","cmp:rel-both:a","cmp","both-rel","a","target-5-a-cmp",4,"Mon Jul 30 09:58:14 2018","5:1:2:4:3",4,"man-big_fan:lady-med_fan:lady-small_fan:lady-med_fish:lady-small_fish","lady with the bigger [inaudible]","yes","target",5,"A1LDGTVB4DC9FN",23,"mturk1_20","mturk1",FALSE,"target1",0,"both-rel cmp"
20,"target-1","pos:rel-abs:b","pos","abs-rel","b","target-1-b-pos",2,"Mon Jul 30 09:58:41 2018","4:1:5:3:2",1,"frog-big_bag:rabbit-med_bag:rabbit-small_bag:rabbit-med_box:frog-small_box","rabbit in the big [inaudible]","yes","target",1,"A1LDGTVB4DC9FN",7,"mturk1_20","mturk1",FALSE,"target2",1,"abs-rel pos"
20,"target-12","pos:abs-both:a","pos","abs-both","a","target-12-a-pos",4,"Mon Jul 30 09:58:54 2018","2:5:4:1:3",1,"cat-big_lamp:horse-med_ladder:cat-small_ladder:horse-med_lizard:horse-small_lizard","horse with the big [inaudible]","yes","target",12,"A1LDGTVB4DC9FN",4,"mturk1_20","mturk1",FALSE,"target2",1,"abs-both pos"
20,"target-10","pos:rel-abs:a","pos","abs-rel","a","target-10-a-pos",2,"Mon Jul 30 10:00:46 2018","4:1:2:5:3",1,"lady-big_cheese:farmer-med_cheese:farmer-small_cheese:farmer-med_chair:lady-small_chair","farmer with the big [inaudible]","yes","target",10,"A1LDGTVB4DC9FN",10,"mturk1_20","mturk1",FALSE,"target2",1,"abs-rel pos"
20,"target-11","pos:rel-both:a","pos","both-rel","a","target-11-a-pos",4,"Mon Jul 30 10:01:10 2018","1:3:5:2:4",2,"boy-big_carrot:policewoman-med_carrot:policewoman-small_carrot:policewoman-med_cookie:policewoman-small_cookie","policewoman with the big [inaudible]","yes","target",11,"A1LDGTVB4DC9FN",11,"mturk1_20","mturk1",FALSE,"target1",0,"both-rel pos"
20,"target-7","cmp:rel-abs:b","cmp","abs-rel","b","target-7-b-cmp",2,"Mon Jul 30 10:01:35 2018","2:1:5:4:3",1,"girl-big_scarf:man-med_scarf:man-small_scarf:man-med_sock:girl-small_sock","man with the bigger [inaudible]","yes","target",7,"A1LDGTVB4DC9FN",10,"mturk1_20","mturk1",FALSE,"target2",1,"abs-rel cmp"
20,"target-2","pos:rel-both:b","pos","both-rel","b","target-2-b-pos",4,"Mon Jul 30 10:01:48 2018","4:5:2:1:3",1,"bird-big_bucket:frog-med_bucket:frog-small_bucket:frog-med_bathtub:frog-small_bathtub","frog in the big [inaudible]","yes","target",2,"A1LDGTVB4DC9FN",4,"mturk1_20","mturk1",FALSE,"target1",0,"both-rel pos"
20,"target-8","cmp:rel-both:b","cmp","both-rel","b","target-8-b-cmp",2,"Mon Jul 30 10:03:05 2018","5:2:1:4:3",2,"rabbit-big_cup:bird-med_cup:bird-small_cup:bird-med_can:bird-small_can","bird in the bigger [inaudible]","yes","target",8,"A1LDGTVB4DC9FN",17,"mturk1_20","mturk1",FALSE,"target2",1,"both-rel cmp"
20,"target-3","pos:abs-both:b","pos","abs-both","b","target-3-b-pos",4,"Mon Jul 30 10:03:21 2018","4:3:5:2:1",2,"bird-big_tower:cat-med_tree:bird-small_tree:cat-med_truck:cat-small_truck","cat in the big [inaudible]","yes","target",3,"A1LDGTVB4DC9FN",7,"mturk1_20","mturk1",FALSE,"target2",1,"abs-both pos"
20,"target-4","cmp:rel-abs:a","cmp","abs-rel","a","target-4-a-cmp",4,"Mon Jul 30 10:04:02 2018","2:4:5:1:3",1,"girl-big_pillow:boy-med_pillow:boy-small_pillow:boy-med_paintbrush:girl-small_paintbrush","boy with the bigger [inaudible]","yes","target",4,"A1LDGTVB4DC9FN",6,"mturk1_20","mturk1",FALSE,"target1",0,"abs-rel cmp"
20,"target-9","cmp:abs-both:b","cmp","abs-both","b","target-9-b-cmp",4,"Mon Jul 30 10:04:24 2018","5:2:4:3:1",3,"frog-big_glasses:monkey-med_grapes:frog-small_grapes:monkey-med_glue:monkey-small_glue","monkey with the bigger [inaudible]","yes","target",9,"A1LDGTVB4DC9FN",6,"mturk1_20","mturk1",FALSE,"target2",1,"abs-both cmp"
20,"target-6","cmp:abs-both:a","cmp","abs-both","a","target-6-a-cmp",4,"Mon Jul 30 10:04:42 2018","3:2:1:5:4",5,"man-big_doll:girl-med_dog:man-small_dog:girl-med_duck:girl-small_duck","girl with the bigger [inaudible]","yes","target",6,"A1LDGTVB4DC9FN",9,"mturk1_20","mturk1",FALSE,"target2",1,"abs-both cmp"
21,"target-9","pos:rel-abs:a","pos","abs-rel","a","target-9-a-pos",2,"Mon Jul 30 09:48:34 2018","1:3:4:5:2",3,"frog-big_glue:monkey-med_glue:monkey-small_glue:monkey-med_grapes:frog-small_grapes","monkey with the big [inaudible]","yes","target",9,"A39GADIK8RLMVC",4,"mturk1_21","mturk1",FALSE,"target2",1,"abs-rel pos"
21,"target-4","cmp:rel-both:a","cmp","both-rel","a","target-4-a-cmp",2,"Mon Jul 30 09:48:48 2018","5:1:2:4:3",1,"girl-big_pillow:boy-med_pillow:boy-small_pillow:boy-med_paintbrush:boy-small_paintbrush","boy with the bigger [inaudible]","yes","target",4,"A39GADIK8RLMVC",3,"mturk1_21","mturk1",FALSE,"target2",1,"both-rel cmp"
21,"target-2","pos:abs-both:b","pos","abs-both","b","target-2-b-pos",2,"Mon Jul 30 09:49:07 2018","4:2:1:3:5",2,"bird-big_boat:frog-med_bucket:bird-small_bucket:frog-med_bathtub:frog-small_bathtub","frog in the big [inaudible]","yes","target",2,"A39GADIK8RLMVC",11,"mturk1_21","mturk1",FALSE,"target1",0,"abs-both pos"
21,"target-12","pos:rel-abs:b","pos","abs-rel","b","target-12-b-pos",2,"Mon Jul 30 09:49:22 2018","4:1:3:5:2",1,"cat-big_lizard:horse-med_lizard:horse-small_lizard:horse-med_ladder:cat-small_ladder","horse with the big [inaudible]","yes","target",12,"A39GADIK8RLMVC",7,"mturk1_21","mturk1",FALSE,"target2",1,"abs-rel pos"
21,"target-7","cmp:rel-both:b","cmp","both-rel","b","target-7-b-cmp",2,"Mon Jul 30 09:49:32 2018","4:1:2:5:3",1,"girl-big_scarf:man-med_scarf:man-small_scarf:man-med_sock:man-small_sock","man with the bigger [inaudible]","yes","target",7,"A39GADIK8RLMVC",4,"mturk1_21","mturk1",FALSE,"target2",1,"both-rel cmp"
21,"target-10","pos:rel-both:a","pos","both-rel","a","target-10-a-pos",4,"Mon Jul 30 09:49:50 2018","4:2:1:3:5",3,"lady-big_cheese:farmer-med_cheese:farmer-small_cheese:farmer-med_chair:farmer-small_chair","farmer with the big [inaudible]","yes","target",10,"A39GADIK8RLMVC",10,"mturk1_21","mturk1",FALSE,"target1",0,"both-rel pos"
21,"target-5","cmp:abs-both:a","cmp","abs-both","a","target-5-a-cmp",4,"Mon Jul 30 09:50:04 2018","5:2:1:3:4",3,"man-big_flower:lady-med_fan:man-small_fan:lady-med_fish:lady-small_fish","lady with the bigger [inaudible]","yes","target",5,"A39GADIK8RLMVC",8,"mturk1_21","mturk1",FALSE,"target2",1,"abs-both cmp"
21,"target-8","cmp:abs-both:b","cmp","abs-both","b","target-8-b-cmp",2,"Mon Jul 30 09:50:18 2018","1:4:3:2:5",4,"rabbit-big_car:bird-med_cup:rabbit-small_cup:bird-med_can:bird-small_can","bird in the bigger [inaudible]","yes","target",8,"A39GADIK8RLMVC",4,"mturk1_21","mturk1",FALSE,"target1",0,"abs-both cmp"
21,"target-11","pos:abs-both:a","pos","abs-both","a","target-11-a-pos",4,"Mon Jul 30 09:50:47 2018","1:4:3:2:5",2,"boy-big_cake:policewoman-med_carrot:boy-small_carrot:policewoman-med_cookie:policewoman-small_cookie","policewoman with the big [inaudible]","yes","target",11,"A39GADIK8RLMVC",20,"mturk1_21","mturk1",FALSE,"target2",1,"abs-both pos"
21,"target-1","pos:rel-both:b","pos","both-rel","b","target-1-b-pos",4,"Mon Jul 30 09:51:00 2018","3:2:4:1:5",1,"frog-big_bag:rabbit-med_bag:rabbit-small_bag:rabbit-med_box:rabbit-small_box","rabbit in the big [inaudible]","yes","target",1,"A39GADIK8RLMVC",3,"mturk1_21","mturk1",FALSE,"target1",0,"both-rel pos"
