"Animal","Container","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel"
"rabbit","bag","2",0.719533008458259,"big","bumford","cco",1,"haddock_model.wppl",1
"rabbit","box","2",0.280466991541742,"big","bumford","cco",1,"haddock_model.wppl",1
"rabbit","bag","2",0.748189566177447,"big","bumford","cco",2,"haddock_model.wppl",1
"rabbit","box","2",0.251810433822553,"big","bumford","cco",2,"haddock_model.wppl",1
"rabbit","box","2",0.536642553368903,"big","bumford","cco",3,"haddock_model.wppl",1
"rabbit","bag","2",0.463357446631097,"big","bumford","cco",3,"haddock_model.wppl",1
"rabbit","bag","2",0.826512186035583,"bigger","bumford","cco",1,"haddock_model.wppl",1
"rabbit","box","2",0.173487813964417,"bigger","bumford","cco",1,"haddock_model.wppl",1
"rabbit","bag","2",0.828910803511273,"bigger","bumford","cco",2,"haddock_model.wppl",1
"rabbit","box","2",0.171089196488727,"bigger","bumford","cco",2,"haddock_model.wppl",1
"rabbit","box","2",0.504204954804366,"bigger","bumford","cco",3,"haddock_model.wppl",1
"rabbit","bag","2",0.495795045195634,"bigger","bumford","cco",3,"haddock_model.wppl",1
"rabbit","bag","2",0.667685650479179,"big","bumford","no-cc",1,"haddock_model.wppl",1
"rabbit","box","2",0.332314349520821,"big","bumford","no-cc",1,"haddock_model.wppl",1
"rabbit","bag","2",0.748189566177447,"big","bumford","no-cc",2,"haddock_model.wppl",1
"rabbit","box","2",0.251810433822553,"big","bumford","no-cc",2,"haddock_model.wppl",1
"rabbit","box","2",0.596582057923527,"big","bumford","no-cc",3,"haddock_model.wppl",1
"rabbit","bag","2",0.403417942076473,"big","bumford","no-cc",3,"haddock_model.wppl",1
"rabbit","bag","2",0.823112308633527,"bigger","bumford","no-cc",1,"haddock_model.wppl",1
"rabbit","box","2",0.176887691366472,"bigger","bumford","no-cc",1,"haddock_model.wppl",1
"rabbit","bag","2",0.828910803511273,"bigger","bumford","no-cc",2,"haddock_model.wppl",1
"rabbit","box","2",0.171089196488727,"bigger","bumford","no-cc",2,"haddock_model.wppl",1
"rabbit","box","2",0.510086102077709,"bigger","bumford","no-cc",3,"haddock_model.wppl",1
"rabbit","bag","2",0.489913897922291,"bigger","bumford","no-cc",3,"haddock_model.wppl",1
"rabbit","box","2",0.633620689655172,"big","standard","cco",1,"haddock_model.wppl",1
"rabbit","bag","2",0.366379310344828,"big","standard","cco",1,"haddock_model.wppl",1
"rabbit","bag","2",0.5,"big","standard","cco",2,"haddock_model.wppl",1
"rabbit","box","2",0.5,"big","standard","cco",2,"haddock_model.wppl",1
"rabbit","box","2",0.633620689655172,"big","standard","cco",3,"haddock_model.wppl",1
"rabbit","bag","2",0.366379310344828,"big","standard","cco",3,"haddock_model.wppl",1
"rabbit","box","2",0.633620689655172,"bigger","standard","cco",1,"haddock_model.wppl",1
"rabbit","bag","2",0.366379310344828,"bigger","standard","cco",1,"haddock_model.wppl",1
"rabbit","bag","2",0.5,"bigger","standard","cco",2,"haddock_model.wppl",1
"rabbit","box","2",0.5,"bigger","standard","cco",2,"haddock_model.wppl",1
"rabbit","box","2",0.633620689655172,"bigger","standard","cco",3,"haddock_model.wppl",1
"rabbit","bag","2",0.366379310344828,"bigger","standard","cco",3,"haddock_model.wppl",1
"rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",1
"rabbit","bag","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",1
"rabbit","box","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",1
"rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",1
"rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",1
"rabbit","bag","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1
"rabbit","box","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1
"rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",1
"rabbit","bag","2",0.59186544186721,"big","bumford","cco",1,"haddock_model.wppl",2
"rabbit","box","2",0.40813455813279,"big","bumford","cco",1,"haddock_model.wppl",2
"rabbit","bag","2",0.594852229237093,"big","bumford","cco",2,"haddock_model.wppl",2
"rabbit","box","2",0.405147770762907,"big","bumford","cco",2,"haddock_model.wppl",2
"rabbit","box","2",0.503646071172906,"big","bumford","cco",3,"haddock_model.wppl",2
"rabbit","bag","2",0.496353928827094,"big","bumford","cco",3,"haddock_model.wppl",2
"rabbit","bag","2",0.588499028575612,"bigger","bumford","cco",1,"haddock_model.wppl",2
"rabbit","box","2",0.411500971424388,"bigger","bumford","cco",1,"haddock_model.wppl",2
"rabbit","bag","2",0.590254532418672,"bigger","bumford","cco",2,"haddock_model.wppl",2
"rabbit","box","2",0.409745467581328,"bigger","bumford","cco",2,"haddock_model.wppl",2
"rabbit","box","2",0.501878283338795,"bigger","bumford","cco",3,"haddock_model.wppl",2
"rabbit","bag","2",0.498121716661205,"bigger","bumford","cco",3,"haddock_model.wppl",2
"rabbit","bag","2",0.709356927780004,"big","bumford","no-cc",1,"haddock_model.wppl",2
"rabbit","box","2",0.290643072219996,"big","bumford","no-cc",1,"haddock_model.wppl",2
"rabbit","bag","2",0.711415839474762,"big","bumford","no-cc",2,"haddock_model.wppl",2
"rabbit","box","2",0.288584160525238,"big","bumford","no-cc",2,"haddock_model.wppl",2
"rabbit","box","2",0.50396210135207,"big","bumford","no-cc",3,"haddock_model.wppl",2
"rabbit","bag","2",0.49603789864793,"big","bumford","no-cc",3,"haddock_model.wppl",2
"rabbit","bag","2",0.708467512741095,"bigger","bumford","no-cc",1,"haddock_model.wppl",2
"rabbit","box","2",0.291532487258905,"bigger","bumford","no-cc",1,"haddock_model.wppl",2
"rabbit","bag","2",0.709028817445066,"bigger","bumford","no-cc",2,"haddock_model.wppl",2
"rabbit","box","2",0.290971182554934,"bigger","bumford","no-cc",2,"haddock_model.wppl",2
"rabbit","box","2",0.502399805098104,"bigger","bumford","no-cc",3,"haddock_model.wppl",2
"rabbit","bag","2",0.497600194901896,"bigger","bumford","no-cc",3,"haddock_model.wppl",2
"rabbit","bag","2",0.597101812967051,"big","standard","cco",1,"haddock_model.wppl",2
"rabbit","box","2",0.402898187032949,"big","standard","cco",1,"haddock_model.wppl",2
"rabbit","bag","2",0.613602287562053,"big","standard","cco",2,"haddock_model.wppl",2
"rabbit","box","2",0.386397712437948,"big","standard","cco",2,"haddock_model.wppl",2
"rabbit","box","2",0.52461234362838,"big","standard","cco",3,"haddock_model.wppl",2
"rabbit","bag","2",0.47538765637162,"big","standard","cco",3,"haddock_model.wppl",2
"rabbit","bag","2",0.599846705880822,"bigger","standard","cco",1,"haddock_model.wppl",2
"rabbit","box","2",0.400153294119178,"bigger","standard","cco",1,"haddock_model.wppl",2
"rabbit","bag","2",0.613602287562052,"bigger","standard","cco",2,"haddock_model.wppl",2
"rabbit","box","2",0.386397712437948,"bigger","standard","cco",2,"haddock_model.wppl",2
"rabbit","box","2",0.52056144231902,"bigger","standard","cco",3,"haddock_model.wppl",2
"rabbit","bag","2",0.47943855768098,"bigger","standard","cco",3,"haddock_model.wppl",2
"rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",2
"rabbit","bag","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",2
"rabbit","box","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",2
"rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",2
"rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",2
"rabbit","bag","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",2
"rabbit","box","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",2
"rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",2
