usernum,stim,cond,adjtype,displaytype,version,audiofile,response,timestamp,order,selectedpos,images,phrase,native,type,stimnum,mturkid,time,cheater,selection,target,condcollapsed,target1,target1hasrel,target1hasabs,target2hasrel,target2hasabs
52,target-12,cmp:rel-both:b,cmp,both-rel,b,target-12-b-cmp,4,Fri Aug 24 12:57:27 2018,2:3:5:4:1,4,cat-big_ladder:horse-med_ladder:horse-small_ladder:horse-med_lizard:horse-small_lizard,horse with the bigger [inaudible],,target,12,5a85eac52a842c0001fcbfd3,23,FALSE,target1,0,both-rel cmp,0,0,0,0,0
52,target-8,cmp:rel-abs:a,cmp,abs-rel,a,target-8-a-cmp,2,Fri Aug 24 12:58:14 2018,5:4:2:3:1,4,rabbit-big_can:bird-med_can:bird-small_can:bird-med_cup:rabbit-small_cup,bird in the bigger [inaudible],,target,8,5a85eac52a842c0001fcbfd3,8,FALSE,target2,1,abs-rel cmp,1,0,1,1,0
52,target-3,pos:rel-both:a,pos,both-rel,a,target-3-a-pos,4,Fri Aug 24 12:58:43 2018,5:2:1:4:3,4,bird-big_truck:cat-med_truck:cat-small_truck:cat-med_tree:cat-small_tree,cat in the big [inaudible],,target,3,5a85eac52a842c0001fcbfd3,13,FALSE,target1,0,both-rel pos,0,0,0,0,0
52,target-11,cmp:rel-abs:b,cmp,abs-rel,b,target-11-b-cmp,2,Fri Aug 24 12:59:03 2018,5:3:4:1:2,3,boy-big_carrot:policewoman-med_carrot:policewoman-small_carrot:policewoman-med_cookie:boy-small_cookie,policewoman with the bigger [inaudible],,target,11,5a85eac52a842c0001fcbfd3,6,FALSE,target2,1,abs-rel cmp,1,0,1,1,0
52,target-4,pos:abs-both:a,pos,abs-both,a,target-4-a-pos,4,Fri Aug 24 12:59:26 2018,4:3:2:1:5,1,girl-big_pen:boy-med_pillow:girl-small_pillow:boy-med_paintbrush:boy-small_paintbrush,boy with the big [inaudible],,target,4,5a85eac52a842c0001fcbfd3,8,FALSE,target2,1,abs-both pos,1,0,1,1,1
52,target-6,pos:rel-both:b,pos,both-rel,b,target-6-b-pos,4,Fri Aug 24 13:00:03 2018,3:1:2:4:5,4,man-big_dog:girl-med_dog:girl-small_dog:girl-med_duck:girl-small_duck,girl with the big [inaudible],,target,6,5a85eac52a842c0001fcbfd3,23,FALSE,target1,0,both-rel pos,0,0,0,0,0
52,target-9,cmp:rel-both:a,cmp,both-rel,a,target-9-a-cmp,4,Fri Aug 24 13:00:26 2018,1:4:3:5:2,5,frog-big_glue:monkey-med_glue:monkey-small_glue:monkey-med_grapes:monkey-small_grapes,monkey with the bigger [inaudible],,target,9,5a85eac52a842c0001fcbfd3,10,FALSE,target1,0,both-rel cmp,0,0,0,0,0
52,target-5,pos:rel-abs:b,pos,abs-rel,b,target-5-b-pos,2,Fri Aug 24 13:00:57 2018,3:2:1:5:4,2,man-big_fan:lady-med_fan:lady-small_fan:lady-med_fish:man-small_fish,lady with the big [inaudible],,target,5,5a85eac52a842c0001fcbfd3,10,FALSE,target2,1,abs-rel pos,1,0,1,1,0
52,target-1,cmp:abs-both:b,cmp,abs-both,b,target-1-b-cmp,4,Fri Aug 24 13:01:23 2018,5:1:2:4:3,4,frog-big_basket:rabbit-med_box:frog-small_box:rabbit-med_bag:rabbit-small_bag,rabbit in the bigger [inaudible],,target,1,5a85eac52a842c0001fcbfd3,9,FALSE,target2,1,abs-both cmp,1,0,1,1,1
52,target-2,pos:rel-abs:a,pos,abs-rel,a,target-2-a-pos,4,Fri Aug 24 13:01:54 2018,4:2:5:3:1,3,bird-big_bathtub:frog-med_bathtub:frog-small_bathtub:frog-med_bucket:bird-small_bucket,frog in the big [inaudible],,target,2,5a85eac52a842c0001fcbfd3,9,FALSE,target1,0,abs-rel pos,0,0,1,1,0
