"","Animal","ContainerType","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel","cmpHighScopeConstrualProb","posHighScopeConstrualProb","allowUninformativeThresholds","Container","Description"
"1","","","",0.436619718309859,"big","standard","cco",1,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit bag"
"2","rabbit","bag","1",0.28169014084507,"big","standard","cco",1,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","bag1","rabbit bag"
"3","rabbit","bag","2",0.28169014084507,"big","standard","cco",1,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","bag2","rabbit bag"
"21","rabbit","bag","1",0.36036036036036,"big","standard","cco",2,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","bag1","rabbit bag"
"31","rabbit","bag","2",0.36036036036036,"big","standard","cco",2,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","bag2","rabbit bag"
"11","","","",0.279279279279279,"big","standard","cco",2,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit bag"
"12","","","",0.436619718309859,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit bag"
"22","rabbit","bag","1",0.28169014084507,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","bag1","rabbit bag"
"32","rabbit","bag","2",0.28169014084507,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","bag2","rabbit bag"
"23","rabbit","bag","2",0.563380281690141,"big","standard","cco",1,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","bag2","rabbit big bag"
"13","","","",0.436619718309859,"big","standard","cco",1,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit big bag"
"211","rabbit","bag","2",0.720720720720721,"big","standard","cco",2,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","bag2","rabbit big bag"
"111","","","",0.279279279279279,"big","standard","cco",2,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit big bag"
"221","rabbit","bag","2",0.563380281690141,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","bag2","rabbit big bag"
"121","","","",0.436619718309859,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit big bag"
"24","rabbit","box","2",0.563380281690141,"big","standard","cco",1,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","box2","rabbit box"
"14","","","",0.436619718309859,"big","standard","cco",1,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit box"
"212","rabbit","box","2",0.563380281690141,"big","standard","cco",2,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","box2","rabbit box"
"112","","","",0.436619718309859,"big","standard","cco",2,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit box"
"222","rabbit","box","2",0.36036036036036,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","box2","rabbit box"
"33","rabbit","box","1",0.36036036036036,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","box1","rabbit box"
"122","","","",0.279279279279279,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit box"
"25","rabbit","box","2",0.720720720720721,"big","standard","cco",1,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","box2","rabbit big box"
"15","","","",0.279279279279279,"big","standard","cco",1,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit big box"
"213","rabbit","box","2",0.720720720720721,"big","standard","cco",2,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","box2","rabbit big box"
"113","","","",0.279279279279279,"big","standard","cco",2,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit big box"
"223","rabbit","box","2",0.720720720720721,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","box2","rabbit big box"
"123","","","",0.279279279279279,"big","standard","cco",3,"haddock_model_literal_listener.wppl",1,0.9,0,"disallow","","rabbit big box"
