"","Animal","Container","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel"
"3","rabbit","box","2",0.424327128770023,"big","bumford","cco",1,"haddock_model.wppl",1
"1","rabbit","bag","2",0.406168112636523,"big","bumford","cco",1,"haddock_model.wppl",1
"2","rabbit","bag","1",0.169504758593455,"big","bumford","cco",1,"haddock_model.wppl",1
"11","rabbit","bag","2",0.438332665653192,"big","bumford","cco",2,"haddock_model.wppl",1
"31","rabbit","box","2",0.342062762451866,"big","bumford","cco",2,"haddock_model.wppl",1
"21","rabbit","bag","1",0.219604571894942,"big","bumford","cco",2,"haddock_model.wppl",1
"4","rabbit","box","2",0.390669320864138,"big","bumford","cco",3,"haddock_model.wppl",1
"12","rabbit","bag","2",0.291820835084236,"big","bumford","cco",3,"haddock_model.wppl",1
"32","rabbit","box","1",0.195725246333194,"big","bumford","cco",3,"haddock_model.wppl",1
"22","rabbit","bag","1",0.121784597718432,"big","bumford","cco",3,"haddock_model.wppl",1
"13","rabbit","bag","2",0.761123938107065,"bigger","bumford","cco",1,"haddock_model.wppl",1
"23","rabbit","box","2",0.238876061892935,"bigger","bumford","cco",1,"haddock_model.wppl",1
"14","rabbit","bag","2",0.758423301308344,"bigger","bumford","cco",2,"haddock_model.wppl",1
"24","rabbit","box","2",0.241576698691656,"bigger","bumford","cco",2,"haddock_model.wppl",1
"15","rabbit","bag","2",0.503699107422361,"bigger","bumford","cco",3,"haddock_model.wppl",1
"25","rabbit","box","2",0.496300892577639,"bigger","bumford","cco",3,"haddock_model.wppl",1
"16","rabbit","bag","2",0.554576913651785,"big","bumford","no-cc",1,"haddock_model.wppl",1
"26","rabbit","box","2",0.445423086348215,"big","bumford","no-cc",1,"haddock_model.wppl",1
"17","rabbit","bag","2",0.641081144856919,"big","bumford","no-cc",2,"haddock_model.wppl",1
"27","rabbit","box","2",0.358918855143081,"big","bumford","no-cc",2,"haddock_model.wppl",1
"28","rabbit","box","2",0.589253147263486,"big","bumford","no-cc",3,"haddock_model.wppl",1
"18","rabbit","bag","2",0.410746852736514,"big","bumford","no-cc",3,"haddock_model.wppl",1
"19","rabbit","bag","2",0.764729768990817,"bigger","bumford","no-cc",1,"haddock_model.wppl",1
"29","rabbit","box","2",0.235270231009183,"bigger","bumford","no-cc",1,"haddock_model.wppl",1
"110","rabbit","bag","2",0.758423301308343,"bigger","bumford","no-cc",2,"haddock_model.wppl",1
"210","rabbit","box","2",0.241576698691657,"bigger","bumford","no-cc",2,"haddock_model.wppl",1
"111","rabbit","bag","2",0.508682401260422,"bigger","bumford","no-cc",3,"haddock_model.wppl",1
"211","rabbit","box","2",0.491317598739579,"bigger","bumford","no-cc",3,"haddock_model.wppl",1
"33","rabbit","box","2",0.523011474718186,"big","standard","cco",1,"haddock_model.wppl",1
"112","rabbit","bag","2",0.313948484385362,"big","standard","cco",1,"haddock_model.wppl",1
"212","rabbit","bag","1",0.163040040896452,"big","standard","cco",1,"haddock_model.wppl",1
"34","rabbit","box","2",0.399840098111946,"big","standard","cco",2,"haddock_model.wppl",1
"113","rabbit","bag","2",0.399840098111946,"big","standard","cco",2,"haddock_model.wppl",1
"213","rabbit","bag","1",0.200319803776107,"big","standard","cco",2,"haddock_model.wppl",1
"41","rabbit","box","2",0.414421241579121,"big","standard","cco",3,"haddock_model.wppl",1
"114","rabbit","bag","2",0.248764944901009,"big","standard","cco",3,"haddock_model.wppl",1
"35","rabbit","box","1",0.207624953539646,"big","standard","cco",3,"haddock_model.wppl",1
"214","rabbit","bag","1",0.129188859980224,"big","standard","cco",3,"haddock_model.wppl",1
"215","rabbit","box","2",0.633620689655172,"bigger","standard","cco",1,"haddock_model.wppl",1
"115","rabbit","bag","2",0.366379310344828,"bigger","standard","cco",1,"haddock_model.wppl",1
"116","rabbit","bag","2",0.5,"bigger","standard","cco",2,"haddock_model.wppl",1
"216","rabbit","box","2",0.5,"bigger","standard","cco",2,"haddock_model.wppl",1
"217","rabbit","box","2",0.633620689655172,"bigger","standard","cco",3,"haddock_model.wppl",1
"117","rabbit","bag","2",0.366379310344828,"bigger","standard","cco",3,"haddock_model.wppl",1
"118","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",1
"119","rabbit","bag","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",1
"218","rabbit","box","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",1
"120","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",1
"121","rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",1
"122","rabbit","bag","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1
"219","rabbit","box","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1
"123","rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",1
"220","rabbit","bag","2",0.415086026056664,"big","bumford","cco",1,"haddock_model.wppl",2
"36","rabbit","box","2",0.39163286742062,"big","bumford","cco",1,"haddock_model.wppl",2
"124","rabbit","bag","1",0.193281106522716,"big","bumford","cco",1,"haddock_model.wppl",2
"221","rabbit","bag","2",0.40939145672151,"big","bumford","cco",2,"haddock_model.wppl",2
"37","rabbit","box","2",0.385503510878495,"big","bumford","cco",2,"haddock_model.wppl",2
"125","rabbit","bag","1",0.205105032399994,"big","bumford","cco",2,"haddock_model.wppl",2
"38","rabbit","box","2",0.337564303469858,"big","bumford","cco",3,"haddock_model.wppl",2
"222","rabbit","bag","2",0.336408323053641,"big","bumford","cco",3,"haddock_model.wppl",2
"42","rabbit","box","1",0.16911964395819,"big","bumford","cco",3,"haddock_model.wppl",2
"126","rabbit","bag","1",0.156907729518311,"big","bumford","cco",3,"haddock_model.wppl",2
"127","rabbit","bag","2",0.604124080624298,"bigger","bumford","cco",1,"haddock_model.wppl",2
"223","rabbit","box","2",0.395875919375702,"bigger","bumford","cco",1,"haddock_model.wppl",2
"128","rabbit","bag","2",0.616824653801705,"bigger","bumford","cco",2,"haddock_model.wppl",2
"224","rabbit","box","2",0.383175346198295,"bigger","bumford","cco",2,"haddock_model.wppl",2
"225","rabbit","box","2",0.513181148947414,"bigger","bumford","cco",3,"haddock_model.wppl",2
"129","rabbit","bag","2",0.486818851052586,"bigger","bumford","cco",3,"haddock_model.wppl",2
"130","rabbit","bag","2",0.675521529720887,"big","bumford","no-cc",1,"haddock_model.wppl",2
"226","rabbit","box","2",0.324478470279113,"big","bumford","no-cc",1,"haddock_model.wppl",2
"131","rabbit","bag","2",0.678805478331099,"big","bumford","no-cc",2,"haddock_model.wppl",2
"227","rabbit","box","2",0.321194521668901,"big","bumford","no-cc",2,"haddock_model.wppl",2
"228","rabbit","box","2",0.505321009782856,"big","bumford","no-cc",3,"haddock_model.wppl",2
"132","rabbit","bag","2",0.494678990217145,"big","bumford","no-cc",3,"haddock_model.wppl",2
"133","rabbit","bag","2",0.676342815827189,"bigger","bumford","no-cc",1,"haddock_model.wppl",2
"229","rabbit","box","2",0.323657184172811,"bigger","bumford","no-cc",1,"haddock_model.wppl",2
"134","rabbit","bag","2",0.67800949358641,"bigger","bumford","no-cc",2,"haddock_model.wppl",2
"230","rabbit","box","2",0.32199050641359,"bigger","bumford","no-cc",2,"haddock_model.wppl",2
"231","rabbit","box","2",0.503390836248112,"bigger","bumford","no-cc",3,"haddock_model.wppl",2
"135","rabbit","bag","2",0.496609163751888,"bigger","bumford","no-cc",3,"haddock_model.wppl",2
"39","rabbit","box","2",0.390936433637896,"big","standard","cco",1,"haddock_model.wppl",2
"232","rabbit","bag","2",0.379793716274821,"big","standard","cco",1,"haddock_model.wppl",2
"136","rabbit","bag","1",0.229269850087283,"big","standard","cco",1,"haddock_model.wppl",2
"233","rabbit","bag","2",0.414834777613715,"big","standard","cco",2,"haddock_model.wppl",2
"310","rabbit","box","2",0.37733308738161,"big","standard","cco",2,"haddock_model.wppl",2
"137","rabbit","bag","1",0.207832135004675,"big","standard","cco",2,"haddock_model.wppl",2
"311","rabbit","box","2",0.345517197261824,"big","standard","cco",3,"haddock_model.wppl",2
"234","rabbit","bag","2",0.300306845580432,"big","standard","cco",3,"haddock_model.wppl",2
"138","rabbit","bag","1",0.18107363351932,"big","standard","cco",3,"haddock_model.wppl",2
"43","rabbit","box","1",0.173102323638424,"big","standard","cco",3,"haddock_model.wppl",2
"139","rabbit","bag","2",0.594763947164143,"bigger","standard","cco",1,"haddock_model.wppl",2
"235","rabbit","box","2",0.405236052835857,"bigger","standard","cco",1,"haddock_model.wppl",2
"140","rabbit","bag","2",0.621383517467137,"bigger","standard","cco",2,"haddock_model.wppl",2
"236","rabbit","box","2",0.378616482532863,"bigger","standard","cco",2,"haddock_model.wppl",2
"237","rabbit","box","2",0.532180699777127,"bigger","standard","cco",3,"haddock_model.wppl",2
"141","rabbit","bag","2",0.467819300222873,"bigger","standard","cco",3,"haddock_model.wppl",2
"142","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",2
"143","rabbit","bag","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",2
"238","rabbit","box","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",2
"144","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",2
"145","rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",2
"146","rabbit","bag","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",2
"239","rabbit","box","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",2
"147","rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",2
