"","Animal","ContainerType","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel","cmpHighScopeConstrualProb","posHighScopeConstrualProb","allowUninformativeThresholds","NA","Container"
"3","rabbit","box","2",0.423383371601306,"big","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"1","rabbit","bag","2",0.372489637925628,"big","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"2","rabbit","bag","1",0.204126990473066,"big","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","bag1","bag1"
"31","rabbit","box","2",0.393136431372175,"big","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"11","rabbit","bag","2",0.379062432397526,"big","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"21","rabbit","bag","1",0.227801136230299,"big","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","bag1","bag1"
"4","rabbit","box","2",0.409976258591484,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"12","rabbit","bag","2",0.267387646240486,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"32","rabbit","box","1",0.176105749194633,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","box1","box1"
"22","rabbit","bag","1",0.146530345973397,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","bag1","bag1"
"13","rabbit","bag","2",0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"23","rabbit","box","2",0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"14","rabbit","bag","2",0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"24","rabbit","box","2",0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"25","rabbit","box","2",0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"15","rabbit","bag","2",0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"26","rabbit","box","2",0.503111819146941,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"16","rabbit","bag","2",0.496888180853059,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"27","rabbit","box","2",0.52222702227534,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"17","rabbit","bag","2",0.47777297772466,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"28","rabbit","box","2",0.649451227663159,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"18","rabbit","bag","2",0.350548772336842,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"19","rabbit","box","2",1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"110","rabbit","bag","2",0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"29","rabbit","box","2",0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"111","rabbit","box","2",1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"33","rabbit","box","2",0.505408284055052,"big","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"112","rabbit","bag","2",0.305604244472658,"big","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"210","rabbit","bag","1",0.18898747147229,"big","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","bag1","bag1"
"34","rabbit","box","2",0.384473512214209,"big","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"113","rabbit","bag","2",0.384473512214208,"big","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"211","rabbit","bag","1",0.231052975571583,"big","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","bag1","bag1"
"41","rabbit","box","2",0.469697630027167,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"114","rabbit","bag","2",0.203004226633764,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"35","rabbit","box","1",0.20175912945559,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","box1","box1"
"212","rabbit","bag","1",0.125539013883478,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","bag1","bag1"
"213","rabbit","box","2",0.633620689655172,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"115","rabbit","bag","2",0.366379310344828,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"116","rabbit","bag","2",0.5,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"214","rabbit","box","2",0.5,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"215","rabbit","box","2",0.579975117521265,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"117","rabbit","bag","2",0.420024882478735,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"118","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"119","rabbit","bag","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"216","rabbit","box","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"120","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"121","rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"122","rabbit","bag","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2","bag2"
"217","rabbit","box","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"123","rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2","box2"
"36","rabbit","box","2",0.394870098755235,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"124","rabbit","bag","2",0.391517692724133,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"218","rabbit","bag","1",0.213612208520632,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag1","bag1"
"125","rabbit","bag","2",0.387061804610453,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"37","rabbit","box","2",0.380329761143171,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"219","rabbit","bag","1",0.232608434246376,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag1","bag1"
"42","rabbit","box","2",0.399061786838694,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"126","rabbit","bag","2",0.277898988700101,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"38","rabbit","box","1",0.171417425944666,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box1","box1"
"220","rabbit","bag","1",0.151621798516539,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag1","bag1"
"127","rabbit","bag","2",0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"221","rabbit","box","2",0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"128","rabbit","bag","2",0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"222","rabbit","box","2",0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"223","rabbit","box","2",0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"129","rabbit","bag","2",0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"130","rabbit","bag","2",0.568377546155158,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"224","rabbit","box","2",0.431622453844842,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"131","rabbit","bag","2",0.51113932359047,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"225","rabbit","box","2",0.48886067640953,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"226","rabbit","box","2",0.61360167533129,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"132","rabbit","bag","2",0.38639832466871,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"133","rabbit","box","2",1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"134","rabbit","bag","2",0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"227","rabbit","box","2",0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"135","rabbit","box","2",1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"39","rabbit","box","2",0.529148433934238,"big","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"136","rabbit","bag","2",0.290935396747145,"big","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"228","rabbit","bag","1",0.179916169318616,"big","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag1","bag1"
"310","rabbit","box","2",0.407210050265369,"big","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"137","rabbit","bag","2",0.370271691799351,"big","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"229","rabbit","bag","1",0.22251825793528,"big","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag1","bag1"
"43","rabbit","box","2",0.469697630027167,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"138","rabbit","bag","2",0.203004226633764,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"311","rabbit","box","1",0.20175912945559,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box1","box1"
"230","rabbit","bag","1",0.125539013883478,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag1","bag1"
"231","rabbit","box","2",0.621536346518715,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"139","rabbit","bag","2",0.378463653481285,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"140","rabbit","bag","2",0.512923865577138,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"232","rabbit","box","2",0.487076134422862,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"233","rabbit","box","2",0.579975117521265,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"141","rabbit","bag","2",0.420024882478735,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"142","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"234","rabbit","box","2",0.555555555555556,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"143","rabbit","bag","2",0.444444444444444,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"144","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"145","rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"146","rabbit","bag","2",0.512923865577138,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2","bag2"
"235","rabbit","box","2",0.487076134422862,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"147","rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2","box2"
"148","rabbit","bag","2",0.406318043855847,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"312","rabbit","box","2",0.372691980471206,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"236","rabbit","bag","1",0.220989975672946,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag1","bag1"
"149","rabbit","bag","2",0.393708564793531,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"313","rabbit","box","2",0.36968856787323,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"237","rabbit","bag","1",0.236602867333239,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag1","bag1"
"44","rabbit","box","2",0.390739900834852,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"150","rabbit","bag","2",0.285913503344284,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"314","rabbit","box","1",0.167842750731877,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box1","box1"
"238","rabbit","bag","1",0.155503845088987,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag1","bag1"
"151","rabbit","bag","2",0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"239","rabbit","box","2",0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"152","rabbit","bag","2",0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"240","rabbit","box","2",0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"241","rabbit","box","2",0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"153","rabbit","bag","2",0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"154","rabbit","bag","2",0.623588814752866,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"242","rabbit","box","2",0.376411185247134,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"155","rabbit","bag","2",0.541386473006823,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"243","rabbit","box","2",0.458613526993177,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"244","rabbit","box","2",0.587651114624916,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"156","rabbit","bag","2",0.412348885375084,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"157","rabbit","box","2",1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"158","rabbit","bag","2",0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"245","rabbit","box","2",0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"159","rabbit","box","2",1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"315","rabbit","box","2",0.546560332002701,"big","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"160","rabbit","bag","2",0.280176724932594,"big","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"246","rabbit","bag","1",0.173262943064705,"big","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag1","bag1"
"316","rabbit","box","2",0.424224608510762,"big","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"161","rabbit","bag","2",0.359643965621536,"big","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"247","rabbit","bag","1",0.216131425867702,"big","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag1","bag1"
