"","Animal","ContainerType","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel","cmpHighScopeConstrualProb","posHighScopeConstrualProb","allowUninformativeThresholds","Container"
"3","rabbit","box","2",0.423383371601306,"big","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","box2"
"1","rabbit","bag","2",0.372489637925628,"big","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2"
"2","rabbit","bag","1",0.204126990473066,"big","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","bag1"
"31","rabbit","box","2",0.393136431372175,"big","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","box2"
"11","rabbit","bag","2",0.379062432397526,"big","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"21","rabbit","bag","1",0.227801136230299,"big","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","bag1"
"4","rabbit","box","2",0.409976258591484,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","box2"
"12","rabbit","bag","2",0.267387646240486,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"32","rabbit","box","1",0.176105749194633,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","box1"
"22","rabbit","bag","1",0.146530345973397,"big","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","bag1"
"13","rabbit","bag","2",0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2"
"23","rabbit","box","2",0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0,"allow","box2"
"14","rabbit","bag","2",0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"24","rabbit","box","2",0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0,"allow","box2"
"25","rabbit","box","2",0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","box2"
"15","rabbit","bag","2",0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"26","rabbit","box","2",0.503111819146941,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2"
"16","rabbit","bag","2",0.496888180853059,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0,"allow","bag2"
"27","rabbit","box","2",0.52222702227534,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2"
"17","rabbit","bag","2",0.47777297772466,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"28","rabbit","box","2",0.649451227663159,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2"
"18","rabbit","bag","2",0.350548772336842,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"19","rabbit","box","2",1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2"
"110","rabbit","bag","2",0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"29","rabbit","box","2",0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2"
"111","rabbit","box","2",1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2"
"33","rabbit","box","2",0.505408284055052,"big","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","box2"
"112","rabbit","bag","2",0.305604244472658,"big","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2"
