"","Animal","ContainerType","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel","cmpHighScopeConstrualProb","posHighScopeConstrualProb","allowUninformativeThresholds","Container"
"2","rabbit","box","2",0.530509621175767,"big","bumford","cco",4,"haddock_model.wppl",1,0,0,"allow","box2"
"1","rabbit","bag","2",0.469490378824233,"big","bumford","cco",4,"haddock_model.wppl",1,0,0,"allow","bag2"
"21","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0,0,"allow","box2"
"11","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0,0,"allow","bag2"
"22","rabbit","box","2",0.526268362150698,"big","bumford","no-cc",4,"haddock_model.wppl",1,0,0,"allow","box2"
"12","rabbit","bag","2",0.473731637849302,"big","bumford","no-cc",4,"haddock_model.wppl",1,0,0,"allow","bag2"
"13","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0,0,"allow","box2"
"23","rabbit","box","2",0.544838636751229,"big","standard","cco",4,"haddock_model.wppl",1,0,0,"allow","box2"
"14","rabbit","bag","2",0.455161363248771,"big","standard","cco",4,"haddock_model.wppl",1,0,0,"allow","bag2"
"24","rabbit","box","2",0.684146032125659,"bigger","standard","cco",4,"haddock_model.wppl",1,0,0,"allow","box2"
"15","rabbit","bag","2",0.315853967874341,"bigger","standard","cco",4,"haddock_model.wppl",1,0,0,"allow","bag2"
"16","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0,0,"allow","box2"
"17","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0,0,"allow","box2"
"25","rabbit","box","2",0.500714890791611,"big","bumford","cco",4,"haddock_model.wppl",2,0,0,"allow","box2"
"18","rabbit","bag","2",0.499285109208389,"big","bumford","cco",4,"haddock_model.wppl",2,0,0,"allow","bag2"
"26","rabbit","box","2",0.502020527049302,"big","bumford","no-cc",4,"haddock_model.wppl",2,0,0,"allow","box2"
"19","rabbit","bag","2",0.497979472950698,"big","bumford","no-cc",4,"haddock_model.wppl",2,0,0,"allow","bag2"
"27","rabbit","box","2",0.507080868104581,"big","standard","cco",4,"haddock_model.wppl",2,0,0,"allow","box2"
"110","rabbit","bag","2",0.492919131895419,"big","standard","cco",4,"haddock_model.wppl",2,0,0,"allow","bag2"
"111","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0,0,"allow","box2"
"28","rabbit","box","2",0.517040595245548,"big","bumford","cco",4,"haddock_model.wppl",1,0,0.5,"allow","box2"
"112","rabbit","bag","2",0.482959404754452,"big","bumford","cco",4,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"29","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0,0.5,"allow","box2"
"113","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"114","rabbit","bag","2",0.507089802850483,"big","bumford","no-cc",4,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"210","rabbit","box","2",0.492910197149517,"big","bumford","no-cc",4,"haddock_model.wppl",1,0,0.5,"allow","box2"
"115","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0,0.5,"allow","box2"
"211","rabbit","box","2",0.58576350062161,"big","standard","cco",4,"haddock_model.wppl",1,0,0.5,"allow","box2"
"116","rabbit","bag","2",0.41423649937839,"big","standard","cco",4,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"212","rabbit","box","2",0.659256124385607,"bigger","standard","cco",4,"haddock_model.wppl",1,0,0.5,"allow","box2"
"117","rabbit","bag","2",0.340743875614394,"bigger","standard","cco",4,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"118","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0,0.5,"allow","box2"
"119","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0,0.5,"allow","box2"
"213","rabbit","box","2",0.500360429566159,"big","bumford","cco",4,"haddock_model.wppl",2,0,0.5,"allow","box2"
"120","rabbit","bag","2",0.499639570433841,"big","bumford","cco",4,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"214","rabbit","box","2",0.501032198752816,"big","bumford","no-cc",4,"haddock_model.wppl",2,0,0.5,"allow","box2"
"121","rabbit","bag","2",0.498967801247184,"big","bumford","no-cc",4,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"215","rabbit","box","2",0.507817063761952,"big","standard","cco",4,"haddock_model.wppl",2,0,0.5,"allow","box2"
"122","rabbit","bag","2",0.492182936238048,"big","standard","cco",4,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"123","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0,0.5,"allow","box2"
"216","rabbit","box","2",0.505695877058153,"big","bumford","cco",4,"haddock_model.wppl",1,0,0.9,"allow","box2"
"124","rabbit","bag","2",0.494304122941847,"big","bumford","cco",4,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"217","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0,0.9,"allow","box2"
"125","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0,0.9,"allow","bag2"
